Country,Indicator ,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,GDP per capita (current US$),1810.61923,1877.616638,1854.656834,1967.116537,2131.377948,2281.098797,2343.99529,2580.271096,2724.372519,2991.607198,3305.126394,3495.579294,3950.170894,4771.671986,6484.119872,7005.906588,7489.59416,7778.164008,8255.744543,9297.333417,10211.83719,11854.5885,12788.54929,11538.39842,12454.55172,11459.17957,11384.93824,11645.45259,14279.15944,17828.04823,18243.47142,18855.762,18604.18827,17667.1871,18079.38018,20358.33336,21904.29412,23509.42347,21345.97099,20558.9604,21697.70848,19527.32358,20117.78889,23492.40517,30513.94174,34080.9999,36117.48798,41001.14298,49654.9106,42783.32257,52087.97229,62574.1457,68027.84171,68156.62792,62511.69059,56707.02208,49881.76371,53934.25018,57180.7794,54875.28596,51680.31652,59934.12941
Austria,GDP per capita (current US$),935.4604269,1031.815004,1087.834243,1167.000532,1269.412583,1374.53214,1486.968606,1569.667183,1677.673528,1825.386126,2058.769051,2380.978458,2924.048879,3890.722419,4630.757197,5285.620724,5678.386658,6810.627685,8205.468977,9793.765348,10869.54649,9385.249064,9410.347257,9537.40742,8991.06504,9172.09676,13083.07266,16392.76952,17578.61894,17468.94614,21680.98962,22410.91177,24880.16412,24081.52779,25646.70066,30325.84958,29809.07677,26705.4786,27361.87511,27183.47593,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759,45307.58786,47429.15846,51486.5755,50114.40111,48588.65938,53267.93275
Azerbaijan,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.530889,1209.187602,60.45821358,209.4785718,157.0860591,314.5612263,409.1631891,505.5003493,561.9068079,573.9165123,655.1199452,703.6838434,763.080638,883.7339715,1045.009379,1578.40239,2473.081819,3851.437869,5574.603802,4950.294791,5843.533768,7189.691229,7496.294648,7875.756953,7891.313147,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5384.034998
Burundi,GDP per capita (current US$),70.0519099,71.16718821,73.43533082,78.51462075,86.16154951,51.38188126,52.1825517,54.80644312,54.90076208,55.7149339,69.76938418,71.62670983,69.13961473,84.41878205,94.68539954,113.7531561,118.9149331,142.0529839,154.5162733,193.1499639,221.2319418,227.12812,231.3436938,240.7817032,213.6168414,242.0585038,245.9153275,225.0714758,209.4148608,209.8944126,208.1466789,209.778011,190.4888799,161.887525,156.812381,167.0988878,143.4023238,158.9146699,144.4930173,128.9389187,136.4639708,134.3634269,123.1175361,113.5672513,128.3367028,151.6815663,167.3764625,172.4955966,198.3528517,212.1370572,234.2355389,249.5779794,252.3624696,256.9736979,274.8578362,305.5111441,251.6514772,250.5146007,238.0343096,223.8628757,233.8375103,236.7954142
Belgium,GDP per capita (current US$),1273.691659,1350.197673,1438.523233,1535.023729,1701.846276,1835.594766,1957.62608,2086.636005,2222.361511,2458.08182,2765.890997,3082.927989,3831.6319,4900.962201,5733.798139,6701.377361,7243.047341,8426.946959,10289.76842,11810.61588,12864.00257,10622.80248,9343.8611,8846.234298,8457.268803,8750.818513,12170.0407,15135.85231,16391.09383,16525.06174,20600.37528,21041.66065,23372.61917,22283.93602,24208.55479,28413.82644,27489.55518,24820.93805,25338.44329,25252.80191,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672,42012.62272,44198.48239,47549.20805,46599.11134,45189.3669,51767.78857
Benin,GDP per capita (current US$),93.02270027,95.57223223,94.46449724,99.85891753,104.3399294,110.1325846,112.9408364,111.951561,116.8951498,116.0252571,114.5566751,112.5699756,134.8195851,161.9870615,174.0140945,207.3003128,208.6564032,218.453984,263.5814315,327.8223122,378.0443051,337.9783717,322.7774529,271.1298442,252.869785,244.4109417,303.3490356,344.5031468,346.7366313,311.6780452,393.686768,385.7538407,317.962736,411.9261797,279.666749,367.3877143,387.4320982,361.0999824,379.4417675,551.8214294,512.673902,518.0674741,574.9297982,711.2849548,798.7443045,822.7851431,856.0549166,966.2036183,1125.426134,1088.757906,1036.534515,1130.273251,1145.140105,1251.209767,1291.410185,1076.796698,1087.287331,1136.593872,1241.825298,1219.515506,1291.040972,1428.447177
Burkina Faso,GDP per capita (current US$),68.4247344,71.55818009,76.52054931,78.37219583,80.47271812,81.72505232,82.54568401,84.3630702,84.73293716,86.52020913,81.5000146,84.28782858,99.32674697,113.7803414,124.3588964,152.7279968,155.6490569,176.783351,225.9415178,262.0760096,282.6858501,254.2304687,245.0944909,217.9946024,193.8432731,200.8943518,256.7624807,291.1316167,313.0615914,304.8535209,351.9792335,346.4105959,361.0468756,334.943237,193.0702802,235.8321506,249.3605589,229.4929493,255.7182367,300.4217239,255.7186873,267.0975996,294.6653885,374.627358,418.3766603,457.9334308,473.4498682,535.0622795,643.404581,624.1751645,647.8360955,751.1727704,758.000427,787.4694383,792.8462374,653.3272681,688.2506963,734.996268,804.5005378,796.1152068,857.9327297,918.1525819
Bangladesh,GDP per capita (current US$),89.03523943,97.5952917,100.1221296,101.9014125,100.2211042,106.6466444,112.6653648,122.8706285,122.8475975,135.1473813,140.0027053,133.5514189,94.38167705,119.5597239,182.0200185,277.5706052,141.1971589,131.3732273,176.0339474,200.769677,227.7519265,247.6496168,220.718797,204.4176901,213.9966386,245.4539123,233.6580722,253.9744737,270.6996009,285.8292169,306.2687008,293.1604211,293.6449876,300.5557477,299.5330371,329.4240761,394.7174919,401.4986674,407.4291762,409.5431838,418.0689421,415.0344043,413.0802826,446.3106757,475.2919302,499.4619402,509.6401899,558.0518407,634.9870697,702.2644196,781.1535777,861.7621622,883.1171296,981.8608514,1118.873808,1248.45331,1678.95323,1839.583378,1991.483267,2154.226819,2270.347535,2503.04388
Bulgaria,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,2238.802958,2234.814816,2169.004011,1852.813434,1963.572676,1914.550647,2260.427281,3132.30136,2511.393063,2477.020818,2366.529821,1267.734375,1211.980878,1278.247173,1148.494399,2258.286018,1470.103703,1361.392386,1820.405094,1659.718346,1621.242961,1770.913534,2092.957694,2719.497656,3389.707049,3899.907638,4523.050833,5885.104348,7265.735497,6988.233325,6853.002854,7849.165283,7432.478766,7681.93462,7901.785876,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533,10079.20338,11634.97102
Bahrain,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,8537.71587,9269.269617,9446.084577,9421.356947,9590.541794,8706.766601,7041.634447,7554.932192,7958.747925,8031.00482,8529.052127,9055.644407,9082.827988,9698.15289,10130.3762,10376.9533,10544.79468,10672.23776,10076.26988,10401.56215,13636.41675,12868.17692,13049.90973,14222.0368,15846.50595,17959.39683,19307.50894,20976.44229,23066.45098,19355.92101,20722.07049,22514.20272,23654.36959,24744.29696,24989.43753,22634.08565,22608.45256,23742.93734,24086.30169,23552.37995,20406.50233,22232.32523
"Bahamas, The",GDP per capita (current US$),1550.267699,1651.317673,1752.840006,1867.010351,1994.440497,2144.739089,2322.705816,2556.634267,2804.333876,3215.153897,3178.86332,3297.411067,3322.219911,3696.03182,3416.439318,3156.250827,3328.615937,3617.45307,4131.386427,5533.251938,6340.787031,6624.992453,7168.160885,7698.083032,8877.705915,9893.042003,10344.32265,11156.55725,11387.70908,12163.43977,12356.231,11919.83357,11686.73974,11406.85813,11814.43471,12238.60461,12708.64145,22036.10068,23514.17756,26130.01296,27098.15632,27486.23677,28867.0825,28327.81367,28396.01371,30279.39221,30713.79806,31472.28554,30627.32775,28552.51716,28443.88848,28005.9124,29485.86422,28768.77237,30154.73862,31699.35863,31314.84456,32371.00818,33077.39183,33872.33431,24665.09683,28239.36671
Bosnia and Herzegovina,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.012792,487.4769045,740.0996865,982.8018491,1102.390688,1251.747595,1484.176057,1544.602072,1789.857692,2258.946445,2698.46718,2980.601267,3416.512376,4193.368005,5090.945825,4714.693737,4635.5102,5092.554725,4777.06692,5129.663534,5330.355078,4729.690054,4994.971623,5394.26914,6070.35298,6119.762351,6082.36673,6916.438315
Belarus,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.767944,1765.735895,1667.605057,1590.088117,1460.0655,1370.699283,1452.507105,1396.442019,1511.325316,1210.61172,1276.288034,1244.373185,1479.314583,1819.766059,2378.623286,3125.810535,3847.434124,4735.657608,6377.369732,5352.583912,6033.686239,6527.173869,6953.132515,7998.125239,8341.399679,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,6555.426818,7303.696266
Belize,GDP per capita (current US$),304.9038598,316.4136295,327.0999965,336.9381023,351.1611263,377.590747,406.0942533,420.3759336,386.9399013,396.6277006,435.6833377,474.4366126,519.5553353,605.9334407,786.0810652,885.9579357,717.061406,858.8218118,980.7519338,1074.294773,1373.216845,1328.774121,1202.793176,1232.853202,1337.03762,1289.390744,1366.041674,1612.331335,1788.00132,2011.946797,2197.161593,2326.724165,2668.531422,2834.688425,2882.152083,2997.760458,3003.182627,2954.227237,2993.033599,3066.095138,3364.491731,3417.090224,3553.121378,3677.152002,3824.927382,3916.355378,4157.193035,4290.901445,4408.382931,4196.995031,4304.111108,4441.738755,4530.604801,4575.680956,4744.108945,4805.196852,4877.670506,4909.604664,4927.194224,4983.336114,3987.796596,4420.491372
Bermuda,GDP per capita (current US$),1902.402119,1961.538169,2020.385965,2020.265247,2199.727007,2282.216546,2630.850466,2982.749704,2830.188679,3053.703704,3387.272727,3866.300366,4343.173432,5009.29368,5853.932584,6509.433962,7261.278195,8370.786517,8876.865672,9613.3829,11218.21782,13425.97697,14166.17129,15902.02038,17469.82557,18269.53552,20450.66453,22411.79567,24253.17552,25517.92172,26841.51974,27700.31006,28669.68171,30900.69428,31476.06372,33989.72316,44826.78907,48478.88325,51371.74081,54245.45974,56284.16865,58883.95943,62583.1002,66111.72523,70359.31911,75882.03386,95221.85887,104287.3875,106935.4863,101407.764,101875.2841,97774.16207,98431.86518,99471.6389,98467.68399,102005.6256,106885.8785,111820.5815,113050.7369,116153.1661,107706.0398,110869.4631
Bolivia,GDP per capita (current US$),102.2377224,109.061304,116.9249682,123.4293413,136.312362,149.6403332,162.3260545,179.5830384,199.6295674,211.7970162,226.8069714,239.1274987,268.5840154,263.8927461,429.2975596,480.8036551,534.2732859,617.3068292,703.1354273,809.4121785,813.1797668,1034.141713,962.1237421,914.0111411,1019.054038,870.185527,627.5635511,674.8525705,698.6920119,701.6659126,709.0599791,762.077719,788.15232,784.1909983,801.046134,880.9926836,950.8563811,998.5159556,1049.499367,1003.392226,997.5817508,948.8702043,904.2257919,907.5374099,967.40646,1034.311806,1218.874074,1372.628374,1715.208395,1754.209467,1955.460181,2346.337844,2609.880562,2908.200371,3081.878824,3035.971655,3076.656439,3351.124344,3548.59078,3552.068144,3137.989617,3414.892849
Brazil,GDP per capita (current US$),235.9468833,232.4805462,251.3483174,295.6319708,258.6053707,269.45629,330.0405859,353.1107106,375.3905735,400.7870694,445.0237808,501.3168142,585.171405,817.4524452,1048.596235,1205.074834,1395.096399,1568.543354,1739.720566,1877.682272,1966.903626,2088.002687,2144.804053,1465.108092,1422.683914,1301.976812,1563.104249,1685.82069,1801.995555,2371.572196,2622.262881,2259.239894,2127.50719,2348.090047,3295.244924,4748.388208,5166.163933,5282.04947,5087.079072,3479.843833,3749.910848,3160.249345,2839.491501,3070.436419,3637.31389,4790.456566,5886.391522,7348.187963,8831.183643,8597.794335,11286.07154,13245.38737,12370.22325,12300.38671,12112.83496,8813.989806,8710.06329,9928.675897,9151.381732,8876.059836,6814.875632,7518.834284
Barbados,GDP per capita (current US$),,,,,,,,,,,,,,,1274.548372,1633.823012,1760.660094,1988.895188,2209.767015,2667.079584,4010.81119,4398.824866,4580.97053,4851.099555,5271.729836,5500.414114,6019.653244,6605.779219,6999.876116,7717.177449,7711.295456,7714.742746,7444.178173,7819.570003,8121.561919,8335.899293,8851.046458,9315.967566,10459.44247,10914.28224,11268.42006,11209.42112,11361.51677,11699.37047,12512.57797,13822.74175,15199.39022,16770.68777,17092.31451,15885.96981,16056.11685,16459.05805,16250.01233,16452.15271,16488.52573,16558.86478,16909.88655,17404.20747,17782.87473,18480.05659,16318.74811,17033.93719
Brunei Darussalam,GDP per capita (current US$),,,,,,1113.783042,1237.563579,1236.419664,1364.065978,1304.340672,1382.537631,1455.887576,1906.971488,2916.130273,6923.221828,7228.040373,8461.889582,9917.30147,10715.17654,14945.84109,25422.03919,21828.12245,20693.82491,18129.2439,17337.02648,15699.57478,10214.02849,11594.56754,11009.25739,11872.72517,13607.89027,13905.16834,15274.66771,14575.57459,14120.95256,15933.45283,16793.39123,16660.14763,12694.14896,14101.17285,18012.50219,16472.00329,16850.39408,18560.5035,21902.02712,26105.42203,30979.96284,32663.39237,37934.67645,27956.00514,35270.64214,47055.96064,47739.55769,44740.85942,41725.86752,31164.03625,27158.40565,28571.60829,31628.47626,31085.96193,27442.95383,31722.66014
Bhutan,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,316.3499358,332.8105995,329.573352,356.2505646,355.4158972,351.6798951,399.4935001,491.1278109,534.2961879,506.9683935,541.9322571,449.5012422,449.4004282,424.3378418,486.9019801,543.3016187,560.391079,638.4858666,643.9882263,690.9127435,718.196337,764.4328082,845.5006721,962.0953713,1068.431811,1228.432356,1330.977444,1757.190496,1828.154677,1819.19731,2258.186435,2563.261224,2538.949519,2472.724753,2652.225654,2752.630172,2930.574923,3286.596744,3243.477437,3322.863329,3000.777986,
Botswana,GDP per capita (current US$),60.493958,64.17613957,68.05034896,71.10643908,75.95591847,81.76999433,89.97955291,100.4051435,110.9786423,126.5455484,153.3263787,197.1942216,246.5415378,353.8584793,428.1984332,479.0912931,483.1413197,564.129011,709.189338,947.7550457,1181.61387,1154.178578,1054.055946,1176.819535,1202.976002,1042.239754,1253.555317,1701.678133,2203.646615,2477.975358,2945.83204,2972.728953,3040.989396,2973.380401,2970.118425,3219.914242,3221.689056,3258.982428,3039.964944,3405.821058,3522.310821,3278.016079,3190.624811,4330.972369,5073.520408,5513.331063,5521.990608,5832.737052,5713.543931,5255.776533,6434.812485,7617.310041,7050.573472,7224.912737,7495.220866,6402.910183,6982.917492,7296.092142,7503.878588,7247.429476,6348.832318,7347.552382
Central African Republic,GDP per capita (current US$),74.68734697,80.68806373,80.21271167,81.91790923,88.29011578,91.83037465,94.39823569,95.89648392,109.9459104,105.7071013,104.4120165,109.4533592,123.3106512,143.1158463,146.2277673,193.3549821,225.9131745,248.6860332,292.4700089,327.3412249,362.4001488,306.8322393,320.4298321,273.5013818,257.3536366,340.201389,432.0117587,453.7462185,469.529167,449.3988958,513.3041877,478.5032764,477.1223243,419.8027038,271.5054976,346.1081962,304.6310755,276.4215961,278.3319015,280.9084242,251.832764,250.5761943,261.9764205,294.3213277,321.3126541,331.2948211,354.986192,404.909403,466.4723203,476.6162628,488.4217358,551.7497219,565.8012071,380.2979111,424.4491317,377.4229177,402.1916451,450.900697,475.9538139,468.1175148,481.7462966,511.4847456
Canada,GDP per capita (current US$),2259.294285,2240.433039,2268.585346,2374.498448,2555.111146,2770.361804,3047.106147,3217.159294,3462.678872,3763.953379,4121.932814,4520.162878,5089.587902,5838.660894,7033.011021,7511.211343,8809.26466,8919.057461,9123.691334,10043.66096,11170.56397,12337.46625,12481.87479,13425.12249,13877.91708,14114.80776,14461.06924,16308.96697,18936.9641,20715.63148,21448.36196,21768.34329,20879.84833,20121.16125,19935.38146,20613.78788,21227.34753,21901.56285,21024.58507,22315.24667,24271.00206,23822.06012,24255.33858,28300.4631,32143.68141,36382.50792,40504.06073,44659.89514,46710.50558,40876.31015,47562.08343,52223.69611,52669.08996,52635.17496,50955.99832,43596.13554,42315.60371,45129.4293,46548.63841,46328.67184,43258.26387,52051.35146
Central Europe and the Baltics,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314.688781,2197.245977,2360.946348,2491.0123,2826.235767,3580.354508,3795.829168,3747.756715,4108.446136,3988.341046,3949.43197,4354.679805,4940.110144,5947.426161,7177.692915,8363.201593,9481.916814,12021.45241,14599.31975,12317.65734,12623.56039,13912.67053,13020.74382,13718.184,14164.07445,12522.66106,12831.40994,14254.7381,16047.2797,16346.56181,16197.29935,18568.99338
Switzerland,GDP per capita (current US$),1787.360348,1971.316323,2131.391652,2294.182847,2501.29319,2620.475547,2784.733548,2960.722586,3121.889031,3344.783603,,,,,,,,,,,19410.18935,17679.86887,18015.10596,17874.25065,17005.53424,17166.5185,24480.42256,30466.10902,32717.92045,31334.97908,39607.81909,39577.74875,40747.92546,39270.11413,43128.01411,50155.97413,48144.57913,41631.43886,42740.12818,41786.23414,38952.0342,39727.84667,42578.76314,49470.39713,54878.471,56546.78566,59300.61722,65359.51922,74572.23237,72083.1677,77117.12601,91254.03476,86547.67089,88109.48675,89684.70758,84776.14217,83073.28008,83352.08865,86388.40495,85334.51946,87100.41482,93457.4404
Channel Islands,GDP per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40583.24267,42446.97122,43380.80298,41807.07902,44544.36451,48861.02563,56753.20505,58199.16055,63244.92538,74463.01592,,,,,,,,,,,,,,
Chile,GDP per capita (current US$),505.3493255,555.1344026,638.94536,655.2522487,678.1281064,670.3956858,772.7257162,753.1279579,756.9120009,870.3198385,932.8615692,1094.682253,1173.218389,1640.0297,1554.387803,719.5991575,961.424604,1278.32816,1441.942086,1937.266572,2542.763806,2979.607879,2156.513066,1709.442069,1624.631968,1444.280138,1517.861345,1760.306398,2026.837914,2288.554941,2494.526796,2803.562714,3350.214089,3535.17436,4024.215228,5107.277513,5386.467985,5797.888802,5474.479217,4985.629188,5100.254133,4609.21396,4481.831255,4827.083378,6186.662716,7558.371754,9406.584485,10439.42846,10752.9723,10151.05852,12724.10406,14577.63266,15354.6184,15777.78151,14606.99672,13495.01061,13690.90746,14962.55685,15772.33348,14699.46278,13220.57076,16502.83857
China,GDP per capita (current US$),89.52054151,75.80583793,70.90941167,74.31364345,85.49855516,98.48677775,104.3245662,96.58953194,91.47271831,100.1299033,113.1629916,118.6545778,131.8835612,157.0903743,160.1400937,178.3418196,165.4055404,185.4228329,156.3963885,183.9831522,194.8047222,197.0714745,203.3349195,225.4319289,250.713969,294.4588485,281.9281209,251.811957,283.5376952,310.8819124,317.884673,333.1421454,366.4606923,377.3898395,473.4922787,609.6566792,709.4137551,781.7441643,828.5804793,873.2870617,959.3724836,1053.108243,1148.50829,1288.643252,1508.668098,1753.417829,2099.229435,2693.970063,3468.304602,3832.236432,4550.453108,5614.352135,6300.615118,7020.338485,7636.116601,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,10408.66976,12556.33312
