Country,Series,Year,GDP per capita
,,2002,5605.43481
,,2003,5951.055409
,,2004,6464.671128
,,2005,7260.795899
,,2006,8206.162342
,,2007,9060.804021
,,2008,10234.80996
,,2009,8588.715063
,,2010,9263.029591
,,2011,9929.770862
,,2012,10200.02028
,,2013,10321.24032
,,2014,10402.31367
,,2015,10181.80616
,,2016,9557.667766
,,2017,9915.744684
,,2018,10250.29173
,,2019,10406.67071
,,2020,8857.870922
,,2021,9352.282028
Central Europe and the Baltics,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,
,,1981,
,,1982,
,,1983,
,,1984,
,,1985,
,,1986,
,,1987,
,,1988,
,,1989,
,,1990,2314.688781
,,1991,2197.245977
,,1992,2360.946348
,,1993,2491.0123
,,1994,2826.235767
,,1995,3580.354508
,,1996,3795.829168
,,1997,3747.756715
,,1998,4108.446136
,,1999,3988.341046
,,2000,3949.43197
,,2001,4354.679805
,,2002,4940.110144
,,2003,5947.426161
,,2004,7177.692915
,,2005,8363.201593
,,2006,9481.916814
,,2007,12021.45241
,,2008,14599.31975
,,2009,12317.65734
,,2010,12623.56039
,,2011,13912.67053
,,2012,13020.74382
,,2013,13718.184
,,2014,14164.07445
,,2015,12522.66106
,,2016,12831.40994
,,2017,14254.7381
,,2018,16047.2797
,,2019,16346.56181
,,2020,16197.29935
,,2021,18568.99338
Early-demographic dividend,GDP per capita (current US$),1960,161.1653515
,,1961,158.4065674
,,1962,159.4058085
,,1963,165.1296255
,,1964,184.6581977
,,1965,195.2446448
,,1966,188.1730197
,,1967,192.9986567
,,1968,204.0614813
,,1969,222.2010725
,,1970,229.3899609
,,1971,242.3397893
,,1972,258.5371927
,,1973,322.4060024
,,1974,440.1673939
,,1975,461.8267947
,,1976,492.2044971
,,1977,536.9534546
,,1978,581.9492306
,,1979,690.4253832
,,1980,838.0514831
,,1981,913.1869052
,,1982,847.2068033
,,1983,831.9795664
,,1984,805.0660008
,,1985,806.9220923
,,1986,794.2157155
,,1987,781.195173
,,1988,801.1206639
,,1989,798.1156986
,,1990,915.1291884
,,1991,946.7122915
,,1992,1019.43302
,,1993,1097.167489
,,1994,1130.50368
,,1995,1136.291262
,,1996,1214.966039
,,1997,1274.07238
,,1998,1232.541674
,,1999,1280.023111
,,2000,1367.857071
,,2001,1332.274291
,,2002,1273.378422
,,2003,1393.704493
,,2004,1596.427816
,,2005,1831.795518
,,2006,2061.381239
,,2007,2400.89818
,,2008,2666.083398
,,2009,2533.921244
,,2010,3026.520496
,,2011,3293.350765
,,2012,3390.888136
,,2013,3389.95391
,,2014,3457.598489
,,2015,3244.237034
,,2016,3303.710575
,,2017,3521.381645
,,2018,3509.754222
,,2019,3538.833413
,,2020,3253.713456
,,2021,3739.95779
East Asia & Pacific,GDP per capita (current US$),1960,148.4236231
,,1961,148.6555343
,,1962,149.6629864
,,1963,163.0253642
,,1964,182.7115526
,,1965,198.6196468
,,1966,216.2428664
,,1967,228.6781327
,,1968,245.945847
,,1969,276.0087417
,,1970,317.0615179
,,1971,342.6182558
,,1972,415.1547476
,,1973,534.8777981
,,1974,603.4059885
,,1975,648.4377186
,,1976,700.9623314
,,1977,822.4449192
,,1978,1022.026426
,,1979,1093.264296
,,1980,1164.521771
,,1981,1264.62744
,,1982,1219.6818
,,1983,1277.185085
,,1984,1347.478931
,,1985,1400.596364
,,1986,1801.349042
,,1987,2080.976869
,,1988,2463.543285
,,1989,2526.434835
,,1990,2599.77012
,,1991,2893.580436
,,1992,3120.478367
,,1993,3446.36395
,,1994,3856.289231
,,1995,4327.219407
,,1996,4121.482134
,,1997,3896.145644
,,1998,3449.090162
,,1999,3814.678023
,,2000,4089.164462
,,2001,3769.285484
,,2002,3796.868341
,,2003,4141.861572
,,2004,4610.578407
,,2005,4882.835544
,,2006,5137.096081
,,2007,5699.822547
,,2008,6525.364675
,,2009,6669.228692
,,2010,7731.862633
,,2011,8903.490987
,,2012,9450.125175
,,2013,9482.163953
,,2014,9707.506845
,,2015,9599.414082
,,2016,9867.865824
,,2017,10466.42427
,,2018,11324.00488
,,2019,11494.09153
,,2020,11483.59931
,,2021,13037.46264
East Asia & Pacific (excluding high income),GDP per capita (current US$),1960,90.90209241
,,1961,80.06175616
,,1962,72.14788168
,,1963,76.20535306
,,1964,85.83977142
,,1965,97.48399079
,,1966,103.6823566
,,1967,98.03130934
,,1968,96.68477282
,,1969,105.6014959
,,1970,114.1157953
,,1971,119.4027283
,,1972,132.0783494
,,1973,162.3148889
,,1974,179.6631929
,,1975,198.0479405
,,1976,197.7553869
,,1977,224.6212017
,,1978,214.4226125
,,1979,244.5239575
,,1980,277.9413708
,,1981,292.1305005
,,1982,301.5450627
,,1983,310.628869
,,1984,331.3010721
,,1985,356.8350215
,,1986,350.0305445
,,1987,339.9730379
,,1988,370.5199079
,,1989,394.0840342
,,1990,415.7504402
,,1991,444.170965
,,1992,490.9206421
,,1993,531.7826598
,,1994,631.6579012
,,1995,769.6116242
,,1996,873.2019472
,,1997,893.3272424
,,1998,804.4601068
,,1999,876.0377584
,,2000,954.9674337
,,2001,1007.653795
,,2002,1105.280974
,,2003,1239.449441
,,2004,1426.584021
,,2005,1639.275634
,,2006,1958.597765
,,2007,2457.241558
,,2008,3084.961513
,,2009,3321.965277
,,2010,4012.992402
,,2011,4869.113994
,,2012,5385.228919
,,2013,5891.965028
,,2014,6301.086814
,,2015,6511.258118
,,2016,6600.764194
,,2017,7159.45138
,,2018,7954.762525
,,2019,8177.838
,,2020,8270.455138
,,2021,9776.493809
East Asia & Pacific (IDA & IBRD countries),GDP per capita (current US$),1960,91.94114291
,,1961,80.99952519
,,1962,72.99708376
,,1963,77.09303979
,,1964,86.83232921
,,1965,98.60683874
,,1966,104.8728831
,,1967,99.15867493
,,1968,97.79987242
,,1969,106.8218927
,,1970,115.435845
,,1971,120.7842001
,,1972,133.6092362
,,1973,164.1994237
,,1974,181.7514405
,,1975,200.3515808
,,1976,200.0543414
,,1977,227.2279778
,,1978,216.9032201
,,1979,247.3435025
,,1980,281.1404415
,,1981,295.4898818
,,1982,305.0070901
,,1983,314.1919879
,,1984,335.101764
,,1985,360.9256421
,,1986,354.0338275
,,1987,343.8471864
,,1988,374.7266088
,,1989,398.5467314
,,1990,420.452367
,,1991,449.1964247
,,1992,496.4869363
,,1993,537.8283246
,,1994,638.8522007
,,1995,778.3826845
,,1996,883.1452357
,,1997,903.4777812
,,1998,813.5766592
,,1999,885.9437709
,,2000,965.7513488
,,2001,1019.027083
,,2002,1117.757721
,,2003,1253.47547
,,2004,1442.780571
,,2005,1657.918243
,,2006,1980.89347
,,2007,2485.209268
,,2008,3120.03225
,,2009,3359.593936
,,2010,4058.461589
,,2011,4924.194862
,,2012,5445.92507
,,2013,5958.159193
,,2014,6371.660419
,,2015,6583.953456
,,2016,6674.255578
,,2017,7238.969962
,,2018,8042.948352
,,2019,8268.375718
,,2020,8361.938147
,,2021,9884.678914
Euro area,GDP per capita (current US$),1960,923.1873412
,,1961,1005.022273
,,1962,1106.286139
,,1963,1229.910396
,,1964,1355.645823
,,1965,1468.536265
,,1966,1589.042333
,,1967,1714.402853
,,1968,1828.295178
,,1969,2027.208171
,,1970,2236.446897
,,1971,2520.912316
,,1972,3024.89889
,,1973,3902.037545
,,1974,4400.04465
,,1975,5075.630259
,,1976,5273.29664
,,1977,5974.289488
,,1978,7286.243412
,,1979,8790.136728
,,1980,9802.565412
,,1981,8486.676083
,,1982,8194.299097
,,1983,7978.052267
,,1984,7639.72905
,,1985,7833.797911
,,1986,10966.93114
,,1987,13527.11519
,,1988,14827.47595
,,1989,15081.09055
,,1990,18893.00803
,,1991,19552.16745
,,1992,21471.77499
,,1993,19567.24812
,,1994,20595.13531
,,1995,23695.30645
,,1996,23913.59615
,,1997,21810.20977
,,1998,22381.04798
,,1999,22220.08207
,,2000,20215.63404
,,2001,20450.66973
,,2002,22213.42407
,,2003,27194.45157
,,2004,31006.78165
,,2005,31949.48392
,,2006,33796.53946
,,2007,38717.26813
,,2008,42355.1551
,,2009,38580.84603
,,2010,37605.90024
,,2011,40657.60014
,,2012,37595.87709
,,2013,39120.33334
,,2014,39912.44232
,,2015,34388.28378
,,2016,35163.47243
,,2017,37154.48194
,,2018,40059.18248
,,2019,39195.77483
,,2020,38012.66729
,,2021,42307.72904
Europe & Central Asia,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,1037.307437
,,1967,1106.904025
,,1968,1147.809182
,,1969,1258.835231
,,1970,1381.878327
,,1971,1546.697769
,,1972,1837.942207
,,1973,2315.987703
,,1974,2597.391692
,,1975,3012.242499
,,1976,3108.449774
,,1977,3499.08621
,,1978,4241.981925
,,1979,5154.646951
,,1980,5798.958459
,,1981,5127.138094
,,1982,4911.453554
,,1983,4737.739827
,,1984,4526.953402
,,1985,4657.035312
,,1986,6318.042646
,,1987,7759.631499
,,1988,8585.052299
,,1989,8648.791687
,,1990,10529.40843
,,1991,10813.31628
,,1992,11546.16553
,,1993,10567.06975
,,1994,11021.39731
,,1995,12708.41491
,,1996,12950.04036
,,1997,12259.9714
,,1998,12562.2222
,,1999,12408.06447
,,2000,11683.49441
,,2001,11785.38366
,,2002,12887.40117
,,2003,15628.78036
,,2004,18159.7271
,,2005,19260.78447
,,2006,20795.94679
,,2007,24217.74843
,,2008,26535.46949
,,2009,23247.42935
,,2010,23680.22746
,,2011,26191.56727
,,2012,25132.53092
,,2013,26147.70105
,,2014,26388.22379
,,2015,22624.91539
,,2016,22455.14736
,,2017,23704.3284
,,2018,25297.67986
,,2019,24914.60337
,,2020,23981.02201
,,2021,27114.27599
Europe & Central Asia (excluding high income),GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,
,,1981,
,,1982,
,,1983,
,,1984,
,,1985,
,,1986,
,,1987,
,,1988,2423.075096
,,1989,2323.913657
,,1990,2472.440511
,,1991,2393.927015
,,1992,2186.195713
,,1993,2139.90651
,,1994,1833.929014
,,1995,1961.735728
,,1996,1980.248473
,,1997,2064.824816
,,1998,1911.877896
,,1999,1603.690009
,,2000,1795.748073
,,2001,1774.404779
,,2002,2033.073436
,,2003,2563.033723
,,2004,3394.14932
,,2005,4289.200933
,,2006,5252.097394
,,2007,6740.237021
,,2008,8320.198662
,,2009,6489.460054
,,2010,7816.195805
,,2011,9654.38147
,,2012,10235.11863
,,2013,10778.37606
,,2014,9921.609409
,,2015,7485.826926
,,2016,7070.965425
,,2017,7889.016899
,,2018,8008.257108
,,2019,8136.751834
,,2020,7435.160748
,,2021,8708.063638
Europe & Central Asia (IDA & IBRD countries),GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,
,,1971,
,,1972,
,,1973,
,,1974,
,,1975,
,,1976,
,,1977,
,,1978,
,,1979,
,,1980,
,,1981,
,,1982,
,,1983,
,,1984,
,,1985,
,,1986,
,,1987,
,,1988,2346.226521
,,1989,2259.66895
,,1990,2387.464479
,,1991,2344.622389
,,1992,2178.873093
,,1993,2145.757503
,,1994,1925.801011
,,1995,2130.321027
,,1996,2189.654618
,,1997,2256.455879
,,1998,2180.158001
,,1999,1890.143526
,,2000,2059.062591
,,2001,2096.896143
,,2002,2359.845446
,,2003,2900.758097
,,2004,3751.476863
,,2005,4696.169301
,,2006,5673.384948
,,2007,7285.228076
,,2008,8994.918218
,,2009,7103.468859
,,2010,8309.822094
,,2011,10041.79739
,,2012,10432.47121
,,2013,11000.65912
,,2014,10330.80505
,,2015,8019.897882
,,2016,7677.406606
,,2017,8562.533645
,,2018,8876.157251
,,2019,9026.080646
,,2020,8406.890911
,,2021,9782.541967
European Union,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,
,,1969,
,,1970,1879.078577
,,1971,2113.362566
,,1972,2533.098151
,,1973,3257.788807
,,1974,3666.504173
,,1975,4245.053256
,,1976,4419.903557
,,1977,4982.041477
,,1978,6042.213543
,,1979,7272.071779
,,1980,8098.498471
,,1981,7032.036992
,,1982,6759.324295
,,1983,6558.828275
,,1984,6304.669468
,,1985,6468.959807
,,1986,9020.128035
,,1987,11124.74214
,,1988,12173.47329
,,1989,12393.22785
,,1990,15454.96299
,,1991,15972.32279
,,1992,17510.45527
,,1993,15933.20689
,,1994,16835.65334
,,1995,19464.94765
,,1996,19750.71452
,,1997,18089.0601
,,1998,18616.21668
,,1999,18482.89392
,,2000,16947.62486
,,2001,17199.11145
,,2002,18761.14413
,,2003,22968.34912
,,2004,26308.6808
,,2005,27344.67445
,,2006,29093.77846
,,2007,33591.38512
,,2008,37050.44892
,,2009,33484.20596
,,2010,32970.71547
,,2011,35756.32903
,,2012,33158.89214
,,2013,34578.05193
,,2014,35286.11738
,,2015,30485.02881
,,2016,31186.51062
,,2017,33094.40835
,,2018,35753.36685
,,2019,35089.28279
,,2020,34191.82825
,,2021,38234.1346
Fragile and conflict affected situations,GDP per capita (current US$),1960,
,,1961,
,,1962,
,,1963,
,,1964,
,,1965,
,,1966,
,,1967,
,,1968,164.7351706
,,1969,179.648336
,,1970,214.4117119
,,1971,212.6393355
,,1972,237.866402
,,1973,284.959784
,,1974,413.6698866
,,1975,453.8683697
,,1976,521.9024323
,,1977,560.8304284
,,1978,603.0496521
,,1979,744.2050383
,,1980,909.6759173
,,1981,1237.682371
,,1982,1159.586978
,,1983,967.483797
,,1984,855.826853
,,1985,855.0917063
,,1986,811.3892743
,,1987,818.2822686
,,1988,838.5341535
,,1989,813.7634577
,,1990,1144.172497
,,1991,771.3982032
,,1992,685.0022754
,,1993,626.2391575
,,1994,587.9021241
,,1995,660.9182169
,,1996,667.8098463
,,1997,740.527546
,,1998,717.9323817
,,1999,757.6615453
,,2000,861.8806152
,,2001,840.9256759
,,2002,806.827649
,,2003,825.3835534
,,2004,1017.91399
,,2005,1249.783391
,,2006,1508.068652
,,2007,1795.620789
,,2008,2226.972427
,,2009,2011.796845
,,2010,2318.671681
,,2011,2131.996487
,,2012,2329.579837
,,2013,2359.480329
,,2014,2428.443617
,,2015,1913.692036
,,2016,1762.810027
,,2017,1825.738332
,,2018,1826.833266
,,2019,1905.700418
,,2020,1743.367113
,,2021,1826.396401
Heavily indebted poor countries (HIPC),GDP per capita (current US$),1960,107.3399177
,,1961,107.5673075
,,1962,114.311615
,,1963,134.6192176
,,1964,117.340784
,,1965,133.6669428
,,1966,141.9207193
,,1967,135.5046804
,,1968,139.7297695
,,1969,151.2680263
,,1970,154.4437972
,,1971,161.9652093
,,1972,171.7869551
,,1973,202.3270601
,,1974,240.1627008
,,1975,267.1739028
,,1976,276.2212024
,,1977,316.2130568
,,1978,355.7282808
,,1979,387.3372942
,,1980,408.4206519
,,1981,387.3424818
,,1982,375.1148805
,,1983,350.3547271
,,1984,343.7389114
,,1985,333.0052839
,,1986,372.4602852
,,1987,398.9219557
,,1988,409.0089878
,,1989,405.8463631
,,1990,455.6232696
,,1991,479.5330816
,,1992,350.4120153
,,1993,352.6870697
,,1994,290.6213254
,,1995,329.5054472
,,1996,347.2959643
,,1997,351.91368
,,1998,362.4664797
,,1999,354.4554995
,,2000,374.0848075
,,2001,353.5937959
,,2002,369.9689499
,,2003,407.0059296
,,2004,455.978168
,,2005,509.4086592
,,2006,584.1658882
,,2007,681.3467481
,,2008,788.3394882
,,2009,775.5543467
,,2010,833.3902877
,,2011,908.2565059
,,2012,916.1952723
,,2013,991.3749964
,,2014,1024.189222
,,2015,965.7695501
,,2016,987.1093103
,,2017,1065.40861
,,2018,987.1739045
,,2019,994.8982809
,,2020,975.4742618
,,2021,1057.919242
High income,GDP per capita (current US$),1960,1372.007466
,,1961,1434.115616
,,1962,1528.486014
,,1963,1626.108169
,,1964,1753.352587
,,1965,1882.045178
,,1966,2042.306698
,,1967,2168.884699
,,1968,2328.607685
,,1969,2536.390016
,,1970,2743.795754
,,1971,3010.719476
,,1972,3457.143724
,,1973,4142.511518
,,1974,4626.622312
,,1975,5115.252292
,,1976,5526.948158
,,1977,6207.56339
,,1978,7377.307008
,,1979,8457.561653
,,1980,9369.588549
,,1981,9434.820745
,,1982,9276.029857
,,1983,9509.878915
,,1984,9853.933841
,,1985,10277.84264
,,1986,12394.74125
,,1987,14267.50796
,,1988,15952.68119
,,1989,16570.7485
,,1990,18474.33512
,,1991,19379.28878
,,1992,20721.01053
,,1993,20720.67597
,,1994,22146.84845
,,1995,24395.87706
,,1996,24442.96555
,,1997,23870.78091
,,1998,23811.84118
,,1999,24858.52869
,,2000,25224.96379
,,2001,24822.42601
,,2002,25723.72913
,,2003,28653.8671
,,2004,31694.41026
,,2005,33295.52822
,,2006,34919.67493
,,2007,37953.03345
,,2008,40116.22615
,,2009,37307.33378
,,2010,38836.67113
,,2011,41742.15873
,,2012,41524.88924
,,2013,41805.75112
,,2014,42455.82354
,,2015,39847.26178
,,2016,40475.17746
,,2017,42118.2044
,,2018,44571.43358
,,2019,44774.77502
,,2020,43282.42346
,,2021,47886.78459
IBRD only,GDP per capita (current US$),1960,170.4505039
,,1961,161.3815111
,,1962,162.5707617
,,1963,170.4644457
,,1964,188.6272359
,,1965,202.4494827
,,1966,204.1789618
,,1967,204.9680043
,,1968,211.5245334
,,1969,230.7015257
,,1970,245.1138629
,,1971,261.4193196
,,1972,287.5919592
,,1973,364.3025736
,,1974,449.5209148
,,1975,475.9491645
,,1976,505.5500097
,,1977,562.2855712
,,1978,595.0408005
,,1979,698.4567112
,,1980,811.9664094
,,1981,860.1852348
,,1982,835.6696404
,,1983,807.5906522
,,1984,807.0874716
,,1985,825.0611258
,,1986,841.3410958
,,1987,843.8844996
,,1988,892.4682106
,,1989,909.2440368
,,1990,1028.557363
,,1991,980.5850466
,,1992,1015.973616
,,1993,1075.564191
,,1994,1172.046948
,,1995,1312.576364
,,1996,1414.232988
,,1997,1479.909859
,,1998,1418.466191
,,1999,1364.462235
,,2000,1467.45532
,,2001,1468.683598
,,2002,1474.616427
,,2003,1639.981113
,,2004,1933.950909
,,2005,2288.208443
,,2006,2685.975836
,,2007,3302.7373
,,2008,3924.500888
,,2009,3768.858814
,,2010,4539.714719
,,2011,5319.547737
,,2012,5594.613089
,,2013,5844.710354
,,2014,5980.853387
,,2015,5547.679602
,,2016,5540.167966
,,2017,6058.914633
,,2018,6387.748819
,,2019,6473.782551
,,2020,6176.40377
,,2021,7241.958363
IDA & IBRD total,GDP per capita (current US$),1960,158.1254075
,,1961,151.4262558
,,1962,153.5124517
,,1963,161.9774408
,,1964,175.6094547
,,1965,188.960953
,,1966,191.7359837
,,1967,191.8865559
,,1968,197.8628532
,,1969,215.8581744
,,1970,231.2550169
,,1971,243.8170105
,,1972,265.6656025
,,1973,331.8396674
,,1974,412.3075251
,,1975,441.4647319
,,1976,466.0839467
,,1977,515.4260766
,,1978,547.9469889
,,1979,640.328295
,,1980,743.7489344
,,1981,820.1707849
,,1982,789.498116
,,1983,744.9112393
,,1984,734.360449
,,1985,747.7902356
,,1986,758.8768403
,,1987,764.7491741
,,1988,799.6922585
,,1989,811.543308
,,1990,915.3181069
,,1991,877.1762238
,,1992,894.3407345
,,1993,936.668637
,,1994,1010.153442
,,1995,1129.82942
,,1996,1216.990702
,,1997,1268.589646
,,1998,1217.438965
,,1999,1173.44377
,,2000,1260.790045
,,2001,1257.731182
,,2002,1265.200191
,,2003,1401.817086
,,2004,1646.569515
,,2005,1938.86413
,,2006,2270.221332
,,2007,2769.591636
,,2008,3279.621665
,,2009,3146.434078
,,2010,3759.97122
,,2011,4343.996248
,,2012,4552.291849
,,2013,4751.116991
,,2014,4859.135489
,,2015,4509.589868
,,2016,4493.836521
,,2017,4879.042932
,,2018,5110.911271
,,2019,5168.837517
,,2020,4925.381242
,,2021,5720.323923
IDA blend,GDP per capita (current US$),1960,100.2031755
,,1961,104.7299496
,,1962,109.3203779
,,1963,112.8821019
,,1964,120.1378164
,,1965,127.1840588
,,1966,134.8404763
,,1967,132.0588161
,,1968,135.791111
,,1969,151.3074198
,,1970,202.5479282
,,1971,183.1817095
,,1972,200.2653303
,,1973,207.9359554
,,1974,291.532472
,,1975,325.8791359
,,1976,381.8290004
,,1977,390.572569
,,1978,411.7869301
,,1979,490.1476146
,,1980,609.7455089
,,1981,1138.364872
,,1982,1009.296584
,,1983,743.0931824
,,1984,618.8092713
,,1985,603.3247632
,,1986,528.0268612
,,1987,524.516611
,,1988,523.077761
,,1989,489.9744105
,,1990,525.3175899
,,1991,513.4514162
,,1992,502.2964292
,,1993,439.8903645
,,1994,430.6023298
,,1995,491.9586475
,,1996,529.1354811
,,1997,526.5329221
,,1998,506.7950722
,,1999,516.4834364
,,2000,573.992377
,,2001,559.6731838
,,2002,604.2309695
,,2003,663.936382
,,2004,789.5955566
,,2005,922.3709761
,,2006,1127.253062
,,2007,1269.455983
,,2008,1472.751356
,,2009,1363.656517
,,2010,1556.630147
,,2011,1742.589635
,,2012,1882.681302
,,2013,1997.468021
,,2014,2093.792195
,,2015,1972.147153
,,2016,1861.940378
,,2017,1787.801592
,,2018,1835.321807
,,2019,1852.219116
,,2020,1740.603808
,,2021,1857.422562
IDA only,GDP per capita (current US$),1960,98.85275686
,,1961,101.1388026
,,1962,106.8127455
,,1963,120.7996885
,,1964,108.3349688
,,1965,121.0673288
,,1966,127.8331839
,,1967,125.6815515
,,1968,128.9176767
,,1969,139.5763623
,,1970,141.5520476
,,1971,146.2164688
,,1972,141.7759406
,,1973,167.537652
,,1974,211.0657929
,,1975,253.5361251
,,1976,229.2198479
,,1977,251.8921897
,,1978,288.3610767
,,1979,315.0333554
,,1980,341.9595033
,,1981,339.3210101
,,1982,327.5805592
,,1983,309.9207421
,,1984,305.2275812
,,1985,309.5273931
,,1986,339.2465637
,,1987,371.2295321
,,1988,347.2689997
,,1989,355.6096423
,,1990,402.7811641
,,1991,421.7636129
,,1992,346.7884202
,,1993,346.810579
,,1994,333.4706753
,,1995,371.0309565
,,1996,412.4103053
,,1997,423.6792343
,,1998,430.8511906
,,1999,430.5763102
,,2000,459.5861423
,,2001,453.2744687
,,2002,465.9970207
,,2003,502.3602957
,,2004,563.8801096
,,2005,633.3478377
,,2006,710.9345197
,,2007,822.4673948
,,2008,963.6643453
,,2009,971.2915334
